country,poe,state,Total_Arrivals
SGP,Bangunan Sultan Iskandar,Johor,15629931
SGP,Gelang Patah,Johor,6455543
THA,Bukit Kayu Hitam,Kedah,1486944
THA,Padang Besar,Perlis,1150059
IDN,LTA Kuala Lumpur Terminal 2,Selangor,1120784
IDN,LTA Kuala Lumpur Terminal 1,Selangor,879156
SGP,Woodlands Train Checkpoint,Singapore,849696
CHN,LTA Kuala Lumpur Terminal 1,Selangor,705066
IDN,LTA Bayan Lepas,Pulau_Pinang,636115
BGD,LTA Kuala Lumpur Terminal 1,Selangor,634578
BRN,Sungai Tujuh,Sarawak,601869
CHN,LTA Kuala Lumpur Terminal 2,Selangor,557500
IND,LTA Kuala Lumpur Terminal 1,Selangor,515147
IND,LTA Kuala Lumpur Terminal 2,Selangor,486319
IDN,Stulang Laut,Johor,468743
THA,Rantau Panjang,Kelantan,462304
SGP,LTA Kuala Lumpur Terminal 2,Selangor,435183
IDN,Bangunan Sultan Iskandar,Johor,369682
BRN,Pos Imigresen Mengkalap,Sarawak,350463
IDN,Tebedu,Sarawak,345915
CHN,Gelang Patah,Johor,342036
NPL,LTA Kuala Lumpur Terminal 1,Selangor,340873
SGP,LTA Bayan Lepas,Pulau_Pinang,331275
CHN,Bangunan Sultan Iskandar,Johor,308966
SGP,LTA Kuala Lumpur Terminal 1,Selangor,284620
AUS,LTA Kuala Lumpur Terminal 1,Selangor,280841
IDN,Gelang Patah,Johor,258403
GBR,LTA Kuala Lumpur Terminal 1,Selangor,249742
JPN,LTA Kuala Lumpur Terminal 1,Selangor,244095
PAK,LTA Kuala Lumpur Terminal 1,Selangor,236246
IDN,Jeti Pasir Gudang,Johor,231320
IDN,Biawak,Sarawak,218833
PHL,Bangunan Sultan Iskandar,Johor,217431
BRN,Pandaruan,Sarawak,216543
IDN,Terminal Feri Puteri Harbour,Johor,215974
KOR,LTA Kota Kinabalu,Sabah,211206
BRN,Tedungan,Sarawak,205621
IND,Gelang Patah,Johor,197571
THA,Pengkalan Hulu (Bukit Berapit),Perak,196815
IDN,Jeti Kukup,Johor,195987
PHL,LTA Kuala Lumpur Terminal 2,Selangor,194705
BGD,LTA Kuala Lumpur Terminal 2,Selangor,194671
IND,Bangunan Sultan Iskandar,Johor,193168
THA,Pos Imigresen Bukit Bunga,Kelantan,183970
TWN,LTA Kuala Lumpur Terminal 1,Selangor,176425
USA,LTA Kuala Lumpur Terminal 1,Selangor,173209
IDN,Pos Kawalan Imigresen Muar,Johor,165258
VNM,LTA Kuala Lumpur Terminal 1,Selangor,163677
KOR,LTA Kuala Lumpur Terminal 1,Selangor,159254
VNM,Gelang Patah,Johor,159142
AUS,LTA Kuala Lumpur Terminal 2,Selangor,159036
THA,LTA Kuala Lumpur Terminal 2,Selangor,156900
PHL,Gelang Patah,Johor,154736
VNM,LTA Kuala Lumpur Terminal 2,Selangor,148072
IDN,Jeti Port Dickson,Negeri_Sembilan,138739
THA,Pengkalan Kubur,Kelantan,116538
JPN,LTA Kuala Lumpur Terminal 2,Selangor,115386
PHL,LTA Kuala Lumpur Terminal 1,Selangor,114073
KOR,LTA Kuala Lumpur Terminal 2,Selangor,113271
KOR,Gelang Patah,Johor,112182
