country,country_label,poe,state,total_arrivals
ABW,Aruba,Bukit Kayu Hitam,Kedah,1
ABW,Aruba,LTA Bayan Lepas,Pulau_Pinang,1
AFG,Afghanistan,Bangunan Sultan Iskandar,Johor,8
AFG,Afghanistan,Bukit Kayu Hitam,Kedah,5
AFG,Afghanistan,Gelang Patah,Johor,16
AFG,Afghanistan,LTA Bayan Lepas,Pulau_Pinang,2
AFG,Afghanistan,LTA Kuala Lumpur Terminal 1,Selangor,2137
AFG,Afghanistan,LTA Kuala Lumpur Terminal 2,Selangor,164
AFG,Afghanistan,LTA Kuching,Sarawak,2
AFG,Afghanistan,LTA Langkawi,Kedah,3
AFG,Afghanistan,Padang Besar,Perlis,3
AFG,Afghanistan,Pos Imigresen Mengkalap,Sarawak,1
AFG,Afghanistan,Sungai Tujuh,Sarawak,3
AGO,Angola,Bangunan Sultan Iskandar,Johor,1
AGO,Angola,Bukit Kayu Hitam,Kedah,2
AGO,Angola,Gelang Patah,Johor,3
AGO,Angola,LTA Kota Kinabalu,Sabah,1
AGO,Angola,LTA Kuala Lumpur Terminal 1,Selangor,114
AGO,Angola,LTA Kuala Lumpur Terminal 2,Selangor,8
AGO,Angola,LTA Langkawi,Kedah,1
AGO,Angola,Pejabat Imigresen Desaru Coast,Johor,1
AGO,Angola,Pelabuhan Tanjung Pelepas,Johor,1
AIA,Anguilla,LTA Kuala Lumpur Terminal 1,Selangor,2
ALB,Albania,Bangunan Sultan Iskandar,Johor,228
ALB,Albania,Bukit Kayu Hitam,Kedah,6
ALB,Albania,Gelang Patah,Johor,105
ALB,Albania,Jeti Kuah Langkawi,Kedah,2
ALB,Albania,LT Bintulu,Sarawak,1
ALB,Albania,LTA Bayan Lepas,Pulau_Pinang,21
ALB,Albania,LTA Ipoh,Perak,2
ALB,Albania,LTA Kota Kinabalu,Sabah,4
ALB,Albania,LTA Kuala Lumpur Terminal 1,Selangor,451
ALB,Albania,LTA Kuala Lumpur Terminal 2,Selangor,243
ALB,Albania,LTA Kuching,Sarawak,1
ALB,Albania,LTA Langkawi,Kedah,9
ALB,Albania,LTA Subang Terminal 3,Selangor,5
ALB,Albania,LTA Sultan Ismail Senai,Johor,1
ALB,Albania,Padang Besar,Perlis,3
ALB,Albania,Pelabuhan Klang Barat - KMT,Selangor,1
ALB,Albania,Pelabuhan Tanjung Pelepas,Johor,3
ALB,Albania,Stulang Laut,Johor,5
ALB,Albania,Sungai Tujuh,Sarawak,3
ALB,Albania,Tanjung Pengelih,Johor,1
ALB,Albania,Telaga Harbour Park,Kedah,5
ALB,Albania,Wang Kelian,Perlis,1
ALB,Albania,Woodlands Train Checkpoint,Singapore,14
AND,Andorra,Bangunan Sultan Iskandar,Johor,3
AND,Andorra,Bukit Kayu Hitam,Kedah,2
AND,Andorra,Gelang Patah,Johor,8
AND,Andorra,LTA Bayan Lepas,Pulau_Pinang,4
AND,Andorra,LTA Kuala Lumpur Terminal 1,Selangor,66
AND,Andorra,LTA Kuala Lumpur Terminal 2,Selangor,35
AND,Andorra,LTA Langkawi,Kedah,1
AND,Andorra,LTA Subang Terminal 3,Selangor,1
AND,Andorra,Padang Besar,Perlis,2
AND,Andorra,Telaga Harbour Park,Kedah,1
ANT,Netherlands Antilles,LTA Kuala Lumpur Terminal 1,Selangor,1
ARE,United Arab Emirates,Bangunan Sultan Iskandar,Johor,363
ARE,United Arab Emirates,Bukit Kayu Hitam,Kedah,6
ARE,United Arab Emirates,Gelang Patah,Johor,204
