year,region,country,country_label,poe,state,total_arrivals,male_arrivals,female_arrivals
2020,Africa,EGY,Egypt,LTA Kuala Lumpur Terminal 1,Selangor,4869,3277,1592
2020,Africa,SDN,Sudan,LTA Kuala Lumpur Terminal 1,Selangor,2671,1648,1023
2020,Africa,ZAF,South Africa,LTA Kuala Lumpur Terminal 1,Selangor,2410,1401,1009
2020,Africa,NGA,Nigeria,LTA Kuala Lumpur Terminal 1,Selangor,1910,1575,335
2020,Africa,MUS,Mauritius,LTA Kuala Lumpur Terminal 1,Selangor,1713,872,841
2020,Africa,DZA,Algeria,LTA Kuala Lumpur Terminal 1,Selangor,1666,1189,477
2020,Africa,LBY,Libyan Arab Jamahiriya,LTA Kuala Lumpur Terminal 1,Selangor,1541,1114,427
2020,Africa,MAR,Morocco,LTA Kuala Lumpur Terminal 1,Selangor,1442,721,721
2020,Africa,EGY,Egypt,LTA Kuala Lumpur Terminal 2,Selangor,1299,806,493
2020,Africa,ZAF,South Africa,LTA Kuala Lumpur Terminal 2,Selangor,1024,522,502
2020,Africa,SOM,Somalia,LTA Kuala Lumpur Terminal 1,Selangor,780,489,291
2020,Africa,KEN,Kenya,LTA Kuala Lumpur Terminal 1,Selangor,658,369,289
2020,Africa,MAR,Morocco,LTA Kuala Lumpur Terminal 2,Selangor,645,381,264
2020,Africa,TUN,Tunisia,LTA Kuala Lumpur Terminal 1,Selangor,613,327,286
2020,Africa,TZA,Tanzania,LTA Kuala Lumpur Terminal 1,Selangor,433,233,200
2020,Africa,ZAF,South Africa,Gelang Patah,Johor,423,243,180
2020,Africa,SDN,Sudan,LTA Kuala Lumpur Terminal 2,Selangor,369,240,129
2020,Africa,ZWE,Zimbabwe,LTA Kuala Lumpur Terminal 1,Selangor,328,179,149
2020,Africa,EGY,Egypt,Bangunan Sultan Iskandar,Johor,326,290,36
2020,Africa,MUS,Mauritius,LTA Kuala Lumpur Terminal 2,Selangor,299,155,144
2020,Africa,ZAF,South Africa,Bangunan Sultan Iskandar,Johor,287,180,107
2020,Africa,LBY,Libyan Arab Jamahiriya,LTA Kuala Lumpur Terminal 2,Selangor,265,212,53
2020,Africa,MUS,Mauritius,Gelang Patah,Johor,255,132,123
2020,Africa,DZA,Algeria,LTA Kuala Lumpur Terminal 2,Selangor,253,196,57
2020,Africa,SYC,Seychelles,LTA Kuala Lumpur Terminal 1,Selangor,222,107,115
2020,Africa,UGA,Uganda,LTA Kuala Lumpur Terminal 1,Selangor,208,115,93
2020,Africa,TUN,Tunisia,LTA Kuala Lumpur Terminal 2,Selangor,190,113,77
2020,Africa,ZMB,Zambia,LTA Kuala Lumpur Terminal 1,Selangor,182,100,82
2020,Africa,KEN,Kenya,LTA Kuala Lumpur Terminal 2,Selangor,171,86,85
2020,Africa,EGY,Egypt,Gelang Patah,Johor,146,94,52
2020,Africa,GIN,Guinea,LTA Kuala Lumpur Terminal 1,Selangor,138,110,28
2020,Africa,KEN,Kenya,Gelang Patah,Johor,138,60,78
2020,Africa,GHA,Ghana,LTA Kuala Lumpur Terminal 1,Selangor,132,86,46
2020,Africa,ZAF,South Africa,LTA Bayan Lepas,Pulau_Pinang,131,72,59
2020,Africa,GMB,Gambia,LTA Kuala Lumpur Terminal 1,Selangor,130,102,28
2020,Africa,MUS,Mauritius,Bangunan Sultan Iskandar,Johor,128,79,49
2020,Africa,SEN,Senegal,LTA Kuala Lumpur Terminal 1,Selangor,128,95,33
2020,Africa,NGA,Nigeria,LTA Kuala Lumpur Terminal 2,Selangor,120,104,16
2020,Africa,EGY,Egypt,Sungai Tujuh,Sarawak,116,77,39
2020,Africa,TZA,Tanzania,LTA Kuala Lumpur Terminal 2,Selangor,111,53,58
2020,Africa,MAR,Morocco,Bangunan Sultan Iskandar,Johor,103,75,28
2020,Africa,ZAF,South Africa,LTA Langkawi,Kedah,102,51,51
2020,Africa,ZAF,South Africa,Sungai Tujuh,Sarawak,101,55,46
2020,Africa,ETH,Ethiopia,LTA Kuala Lumpur Terminal 1,Selangor,90,54,36
2020,Africa,SOM,Somalia,LTA Kuala Lumpur Terminal 2,Selangor,84,58,26
