year,sector,desc_en,value,rank
2015,p5.1.3,Transportation and storage,11057.0,1
2015,p5.1.3,Transportation and storage,10567.0,2
2015,p5.1.3,Transportation and storage,10250.0,3
2015,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),10241.0,4
2015,p5.1.3,Transportation and storage,10183.0,5
2015,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),10135.0,6
2015,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),10053.0,7
2015,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),10034.0,8
2015,p5.2.2,Food and beverage,7615.0,9
2015,p5.2.2,Food and beverage,6967.0,10
2015,p5.2.2,Food and beverage,6894.0,11
2015,p5.2.2,Food and beverage,6876.0,12
2015,p5.4.2,Private education services (language/ hospitality training),2418.0,13
2015,p5.4.2,Private education services (language/ hospitality training),2410.0,14
2015,p5.4.2,Private education services (language/ hospitality training),2262.0,15
2015,p5.4.2,Private education services (language/ hospitality training),2144.0,16
2015,p5.4.1,Private health services (medical tourism),2061.0,17
2015,p5.2.3,Accommodation,2048.0,18
2015,p5.4.1,Private health services (medical tourism),2034.0,19
2015,p5.2.3,Accommodation,2030.0,20
2015,p5.4.1,Private health services (medical tourism),2026.0,21
2015,p5.2.3,Accommodation,1936.0,22
2015,p5.4.1,Private health services (medical tourism),1906.0,23
2015,p5.2.3,Accommodation,1853.0,24
2015,p5.2.2,Food and beverage,9.3,25
2015,p5.4.1,Private health services (medical tourism),8.1,26
2015,p5.4.2,Private education services (language/ hospitality training),6.5,27
2015,p5.4.2,Private education services (language/ hospitality training),5.5,28
2015,p5.2.3,Accommodation,4.9,29
2015,p5.1.3,Transportation and storage,4.6,30
2015,p5.2.3,Accommodation,4.5,31
2015,p5.1.3,Transportation and storage,3.1,32
2015,p5.2.2,Food and beverage,1.3,33
2015,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),1.0,34
2015,p5.2.3,Accommodation,0.9,35
2015,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),0.8,36
2015,p5.1.3,Transportation and storage,0.7,37
2015,p5.4.1,Private health services (medical tourism),0.4,38
2015,p5.4.2,Private education services (language/ hospitality training),0.3,39
2015,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),0.2,40
2015,p5.2.2,Food and beverage,-0.3,41
2015,p5.4.1,Private health services (medical tourism),-1.7,42
2016,p5.1.3,Transportation and storage,11678.0,1
2016,p5.1.3,Transportation and storage,11119.0,2
2016,p5.1.3,Transportation and storage,10877.0,3
2016,p5.1.3,Transportation and storage,10789.0,4
2016,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),10721.0,5
2016,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),10599.0,6
2016,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),10452.0,7
2016,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),10439.0,8
2016,p5.2.2,Food and beverage,8252.0,9
2016,p5.2.2,Food and beverage,7539.0,10
2016,p5.2.2,Food and beverage,7418.0,11
